"Relationship Name","Relationship Physical_Name","Relationship Child Entity","Relationship Definition","Relationship Parent Entity"
FK_Customer_Country,FK_Customer_Country,Customer,,Country
FK_Customer_MarketingInformation,FK_Customer_CustomerExpenditureClassification,Customer,,CustomerExpenditureClassification
FK_ManufacturerVehicleModel_ManufacturerVehicleMake,FK_ManufacturerVehicleModel_ManufacturerVehicleMake,ManufacturerVehicleModel,,ManufacturerVehicleMake
FK_ManufacturerVehicleStock_ManufacturerVehicleModel,FK_ManufacturerVehicleStock_ManufacturerVehicleModel,ManufacturerVehicleStock,,ManufacturerVehicleModel
FK_SalesOrderVehicleDetail_ManufacturerVehicleStock,FK_SalesOrderVehicleDetail_ManufacturerVehicleStock,SalesOrderVehicleDetail,,ManufacturerVehicleStock
FK_SalesOrderVehicleDetail_SalesOrderVehicle,FK_SalesOrderVehicleDetail_SalesOrderVehicle,SalesOrderVehicleDetail,,SalesOrderVehicle
FK_SalesOrderVehicle_Customer,FK_SalesOrderVehicle_Customer,SalesOrderVehicle,,Customer
FK_SalesOrderVehicle_Staff,FK_SalesOrderVehicle_Staff,SalesOrderVehicle,,Staff
R/27,FK_ManufacturerVehicleMake_ManufacturerMarketingCategory,ManufacturerVehicleMake,,ManufacturerMarketingCategory
